================ Training Loss (Sun Feb 28 11:25:05 2021) ================
(epoch: 18, iters: 320, time: 0.094, data: 0.025) loss: 1.192 
(epoch: 18, iters: 400, time: 0.093, data: 0.000) loss: 1.279 
(epoch: 18, iters: 480, time: 0.093, data: 0.000) loss: 1.451 
(epoch: 19, iters: 80, time: 0.095, data: 0.885) loss: 1.219 
(epoch: 19, iters: 160, time: 0.094, data: 0.000) loss: 1.020 
(epoch: 19, iters: 240, time: 0.094, data: 0.000) loss: 1.282 
(epoch: 19, iters: 320, time: 0.094, data: 0.014) loss: 1.693 
(epoch: 19, iters: 400, time: 0.095, data: 0.000) loss: 1.400 
(epoch: 19, iters: 480, time: 0.094, data: 0.000) loss: 0.968 
(epoch: 20, iters: 80, time: 0.094, data: 0.571) loss: 0.875 
(epoch: 20, iters: 160, time: 0.098, data: 0.000) loss: 1.226 
(epoch: 20, iters: 240, time: 0.094, data: 0.008) loss: 1.543 
(epoch: 20, iters: 320, time: 0.094, data: 0.004) loss: 1.496 
(epoch: 20, iters: 400, time: 0.095, data: 0.000) loss: 1.163 
(epoch: 20, iters: 480, time: 0.094, data: 0.008) loss: 1.136 
(epoch: 21, iters: 80, time: 0.095, data: 0.677) loss: 1.323 
(epoch: 21, iters: 160, time: 0.094, data: 0.006) loss: 1.319 
(epoch: 21, iters: 240, time: 0.095, data: 0.000) loss: 1.334 
(epoch: 21, iters: 320, time: 0.099, data: 0.008) loss: 1.290 
(epoch: 21, iters: 400, time: 0.095, data: 0.004) loss: 1.425 
(epoch: 21, iters: 480, time: 0.095, data: 0.000) loss: 0.986 
(epoch: 22, iters: 80, time: 0.095, data: 0.773) loss: 1.112 
(epoch: 22, iters: 160, time: 0.094, data: 0.000) loss: 1.049 
(epoch: 22, iters: 240, time: 0.094, data: 0.004) loss: 0.958 
(epoch: 22, iters: 320, time: 0.094, data: 0.010) loss: 1.181 
(epoch: 22, iters: 400, time: 0.095, data: 0.000) loss: 0.864 
(epoch: 22, iters: 480, time: 0.095, data: 0.005) loss: 1.131 
(epoch: 23, iters: 80, time: 0.096, data: 0.672) loss: 0.827 
(epoch: 23, iters: 160, time: 0.100, data: 0.004) loss: 0.832 
(epoch: 23, iters: 240, time: 0.098, data: 0.006) loss: 1.446 
(epoch: 23, iters: 320, time: 0.096, data: 0.005) loss: 1.612 
(epoch: 23, iters: 400, time: 0.094, data: 0.004) loss: 0.716 
(epoch: 23, iters: 480, time: 0.095, data: 0.004) loss: 1.131 
(epoch: 24, iters: 80, time: 0.095, data: 0.561) loss: 0.918 
(epoch: 24, iters: 160, time: 0.096, data: 0.000) loss: 0.907 
(epoch: 24, iters: 240, time: 0.095, data: 0.012) loss: 1.107 
(epoch: 24, iters: 320, time: 0.096, data: 0.000) loss: 0.973 
(epoch: 24, iters: 400, time: 0.095, data: 0.000) loss: 0.890 
(epoch: 24, iters: 480, time: 0.094, data: 0.011) loss: 1.348 
(epoch: 25, iters: 80, time: 0.094, data: 0.476) loss: 0.845 
(epoch: 25, iters: 160, time: 0.095, data: 0.004) loss: 1.163 
(epoch: 25, iters: 240, time: 0.095, data: 0.004) loss: 1.123 
(epoch: 25, iters: 320, time: 0.096, data: 0.004) loss: 0.930 
(epoch: 25, iters: 400, time: 0.094, data: 0.004) loss: 1.101 
(epoch: 25, iters: 480, time: 0.096, data: 0.004) loss: 0.848 
(epoch: 26, iters: 80, time: 0.096, data: 0.667) loss: 1.121 
(epoch: 26, iters: 160, time: 0.095, data: 0.010) loss: 1.004 
(epoch: 26, iters: 240, time: 0.094, data: 0.000) loss: 0.722 
(epoch: 26, iters: 320, time: 0.095, data: 0.007) loss: 0.812 
(epoch: 26, iters: 400, time: 0.094, data: 0.009) loss: 1.760 
(epoch: 26, iters: 480, time: 0.095, data: 0.000) loss: 0.776 
(epoch: 27, iters: 80, time: 0.096, data: 0.479) loss: 0.623 
(epoch: 27, iters: 160, time: 0.094, data: 0.011) loss: 1.124 
(epoch: 27, iters: 240, time: 0.095, data: 0.009) loss: 1.063 
(epoch: 27, iters: 320, time: 0.098, data: 0.000) loss: 0.777 
(epoch: 27, iters: 400, time: 0.095, data: 0.004) loss: 0.878 
(epoch: 27, iters: 480, time: 0.094, data: 0.008) loss: 1.319 
(epoch: 28, iters: 80, time: 0.098, data: 0.479) loss: 0.859 
(epoch: 28, iters: 160, time: 0.095, data: 0.000) loss: 1.079 
(epoch: 28, iters: 240, time: 0.095, data: 0.014) loss: 0.541 
(epoch: 28, iters: 320, time: 0.095, data: 0.020) loss: 0.886 
(epoch: 28, iters: 400, time: 0.093, data: 0.000) loss: 1.357 
(epoch: 28, iters: 480, time: 0.095, data: 0.007) loss: 0.761 
(epoch: 29, iters: 80, time: 0.094, data: 0.364) loss: 0.734 
(epoch: 29, iters: 160, time: 0.093, data: 0.005) loss: 0.502 
(epoch: 29, iters: 240, time: 0.094, data: 0.000) loss: 0.761 
(epoch: 29, iters: 320, time: 0.095, data: 0.008) loss: 0.776 
(epoch: 29, iters: 400, time: 0.095, data: 0.005) loss: 0.812 
(epoch: 29, iters: 480, time: 0.094, data: 0.000) loss: 0.702 
(epoch: 30, iters: 80, time: 0.098, data: 0.356) loss: 1.312 
(epoch: 30, iters: 160, time: 0.094, data: 0.000) loss: 0.728 
(epoch: 30, iters: 240, time: 0.095, data: 0.004) loss: 0.750 
(epoch: 30, iters: 320, time: 0.099, data: 0.009) loss: 0.696 
(epoch: 30, iters: 400, time: 0.093, data: 0.000) loss: 0.709 
(epoch: 30, iters: 480, time: 0.094, data: 0.004) loss: 0.773 
(epoch: 31, iters: 80, time: 0.094, data: 0.464) loss: 0.441 
(epoch: 31, iters: 160, time: 0.094, data: 0.000) loss: 0.793 
(epoch: 31, iters: 240, time: 0.094, data: 0.004) loss: 0.624 
(epoch: 31, iters: 320, time: 0.094, data: 0.010) loss: 0.616 
(epoch: 31, iters: 400, time: 0.094, data: 0.000) loss: 0.919 
(epoch: 31, iters: 480, time: 0.095, data: 0.005) loss: 0.629 
(epoch: 32, iters: 80, time: 0.095, data: 0.245) loss: 0.981 
(epoch: 32, iters: 160, time: 0.094, data: 0.000) loss: 0.659 
(epoch: 32, iters: 240, time: 0.094, data: 0.008) loss: 0.497 
(epoch: 32, iters: 320, time: 0.095, data: 0.004) loss: 0.704 
(epoch: 32, iters: 400, time: 0.094, data: 0.000) loss: 0.728 
(epoch: 32, iters: 480, time: 0.094, data: 0.007) loss: 0.550 
(epoch: 33, iters: 80, time: 0.095, data: 0.454) loss: 0.670 
(epoch: 33, iters: 160, time: 0.094, data: 0.000) loss: 0.504 
(epoch: 33, iters: 240, time: 0.094, data: 0.000) loss: 0.611 
(epoch: 33, iters: 320, time: 0.095, data: 0.023) loss: 0.434 
(epoch: 33, iters: 400, time: 0.093, data: 0.000) loss: 0.504 
(epoch: 33, iters: 480, time: 0.094, data: 0.000) loss: 0.600 
(epoch: 34, iters: 80, time: 0.095, data: 0.452) loss: 0.673 
(epoch: 34, iters: 160, time: 0.094, data: 0.000) loss: 0.613 
(epoch: 34, iters: 240, time: 0.095, data: 0.000) loss: 0.940 
(epoch: 34, iters: 320, time: 0.096, data: 0.013) loss: 0.981 
(epoch: 34, iters: 400, time: 0.094, data: 0.000) loss: 1.101 
(epoch: 34, iters: 480, time: 0.094, data: 0.000) loss: 0.518 
(epoch: 35, iters: 80, time: 0.094, data: 0.351) loss: 0.989 
(epoch: 35, iters: 160, time: 0.094, data: 0.000) loss: 1.049 
(epoch: 35, iters: 240, time: 0.095, data: 0.006) loss: 0.597 
(epoch: 35, iters: 320, time: 0.094, data: 0.008) loss: 1.945 
(epoch: 35, iters: 400, time: 0.094, data: 0.000) loss: 0.373 
